,date,shop,brand,container,quantity,capacity,sales
0,2012-01-31,shop_1,kinder-cola,glass,13280,500ml,12738.38
1,2012-01-31,shop_1,kinder-cola,plastic,6727,1.5lt,19238.04
2,2012-01-31,shop_1,kinder-cola,can,9848,330ml,8559.0
3,2012-01-31,shop_1,adult-cola,glass,20050,500ml,19994.69
4,2012-01-31,shop_1,adult-cola,plastic,12229,1.5lt,31200.35
5,2012-01-31,shop_1,adult-cola,can,25696,330ml,9998.52
6,2012-01-31,shop_1,orange-power,glass,15041,500ml,15101.42
7,2012-01-31,shop_1,orange-power,plastic,15702,1.5lt,23158.42
8,2012-01-31,shop_1,orange-power,can,34578,330ml,14715.78
9,2012-01-31,shop_1,gazoza,glass,44734,500ml,22104.5
10,2012-01-31,shop_1,gazoza,plastic,26884,1.5lt,22972.5
11,2012-01-31,shop_1,gazoza,can,16367,330ml,6580.66
12,2012-01-31,shop_1,lemon-boost,glass,18623,500ml,13004.07
13,2012-01-31,shop_1,lemon-boost,plastic,9645,1.5lt,21298.91
14,2012-01-31,shop_1,lemon-boost,can,19818,330ml,10290.05
15,2012-01-31,shop_2,kinder-cola,glass,8943,500ml,13500.39
16,2012-01-31,shop_2,kinder-cola,plastic,15073,1.5lt,24414.59
17,2012-01-31,shop_2,kinder-cola,can,11174,330ml,10202.35
18,2012-01-31,shop_2,adult-cola,glass,21063,500ml,21062.52
19,2012-01-31,shop_2,adult-cola,plastic,15126,1.5lt,39534.87
20,2012-01-31,shop_2,adult-cola,can,21095,330ml,13532.35
21,2012-01-31,shop_2,orange-power,glass,21720,500ml,19203.38
22,2012-01-31,shop_2,orange-power,plastic,25347,1.5lt,32246.88
23,2012-01-31,shop_2,orange-power,can,54780,330ml,12694.04
24,2012-01-31,shop_2,gazoza,glass,41378,500ml,24109.73
25,2012-01-31,shop_2,gazoza,plastic,30757,1.5lt,30677.44
26,2012-01-31,shop_2,gazoza,can,49688,330ml,12743.44
27,2012-01-31,shop_2,lemon-boost,glass,18582,500ml,16458.79
28,2012-01-31,shop_2,lemon-boost,plastic,10348,1.5lt,23291.91
29,2012-01-31,shop_2,lemon-boost,can,29015,330ml,12027.92
30,2012-01-31,shop_6,kinder-cola,glass,17474,500ml,19412.59
31,2012-01-31,shop_6,kinder-cola,plastic,8361,1.5lt,32078.26
32,2012-01-31,shop_6,kinder-cola,can,26782,330ml,15228.25
33,2012-01-31,shop_6,adult-cola,glass,19841,500ml,23182.85
34,2012-01-31,shop_6,adult-cola,plastic,14917,1.5lt,41386.69
35,2012-01-31,shop_6,adult-cola,can,26581,330ml,17276.23
36,2012-01-31,shop_6,orange-power,glass,38696,500ml,23842.77
37,2012-01-31,shop_6,orange-power,plastic,30586,1.5lt,50474.74
38,2012-01-31,shop_6,orange-power,can,66314,330ml,22130.1
39,2012-01-31,shop_6,gazoza,glass,56428,500ml,31912.72
40,2012-01-31,shop_6,gazoza,plastic,47386,1.5lt,34549.95
41,2012-01-31,shop_6,gazoza,can,77667,330ml,16196.04
42,2012-01-31,shop_6,lemon-boost,glass,26717,500ml,22983.22
43,2012-01-31,shop_6,lemon-boost,plastic,16090,1.5lt,32959.61
